LocID,Location,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
716,Zimbabwe,2,Medium,1950,1950.5,1369.575,1377.277,2746.852,7.101
716,Zimbabwe,2,Medium,1951,1951.5,1412.101,1420.147,2832.248,7.321
716,Zimbabwe,2,Medium,1952,1952.5,1456.883,1465.157,2922.04,7.553
716,Zimbabwe,2,Medium,1953,1953.5,1503.608,1512.054,3015.662,7.795
716,Zimbabwe,2,Medium,1954,1954.5,1552.073,1560.702,3112.775,8.046
716,Zimbabwe,2,Medium,1955,1955.5,1602.227,1611.062,3213.289,8.306
716,Zimbabwe,2,Medium,1956,1956.5,1654.09,1663.192,3317.282,8.575
716,Zimbabwe,2,Medium,1957,1957.5,1707.833,1717.237,3425.07,8.854
716,Zimbabwe,2,Medium,1958,1958.5,1763.707,1773.46,3537.167,9.144
716,Zimbabwe,2,Medium,1959,1959.5,1822.028,1832.144,3654.172,9.446
716,Zimbabwe,2,Medium,1960,1960.5,1883.108,1893.571,3776.679,9.763
716,Zimbabwe,2,Medium,1961,1961.5,1947.123,1957.915,3905.038,10.094
716,Zimbabwe,2,Medium,1962,1962.5,2014.035,2025.174,4039.209,10.441
716,Zimbabwe,2,Medium,1963,1963.5,2083.601,2095.125,4178.726,10.802
716,Zimbabwe,2,Medium,1964,1964.5,2155.402,2167.452,4322.854,11.174
716,Zimbabwe,2,Medium,1965,1965.5,2229.216,2241.962,4471.178,11.558
716,Zimbabwe,2,Medium,1966,1966.5,2304.832,2318.508,4623.34,11.951
716,Zimbabwe,2,Medium,1967,1967.5,2382.496,2397.329,4779.825,12.356
716,Zimbabwe,2,Medium,1968,1968.5,2462.904,2478.997,4941.901,12.775
716,Zimbabwe,2,Medium,1969,1969.5,2547.013,2564.313,5111.326,13.213
716,Zimbabwe,2,Medium,1970,1970.5,2635.483,2653.829,5289.312,13.673
716,Zimbabwe,2,Medium,1971,1971.5,2728.952,2748.026,5476.978,14.158
716,Zimbabwe,2,Medium,1972,1972.5,2827.171,2846.743,5673.914,14.667
716,Zimbabwe,2,Medium,1973,1973.5,2928.742,2948.983,5877.725,15.194
716,Zimbabwe,2,Medium,1974,1974.5,3031.721,3053.357,6085.078,15.73
716,Zimbabwe,2,Medium,1975,1975.5,3134.875,3159,6293.875,16.27
716,Zimbabwe,2,Medium,1976,1976.5,3237.296,3265.27,6502.566,16.809
716,Zimbabwe,2,Medium,1977,1977.5,3339.963,3372.862,6712.825,17.353
716,Zimbabwe,2,Medium,1978,1978.5,3445.791,3483.872,6929.663,17.913
716,Zimbabwe,2,Medium,1979,1979.5,3558.849,3601.172,7160.021,18.509
716,Zimbabwe,2,Medium,1980,1980.5,3681.893,3726.737,7408.63,19.151
716,Zimbabwe,2,Medium,1981,1981.5,3815.061,3860.521,7675.582,19.841
716,Zimbabwe,2,Medium,1982,1982.5,3956.834,4001.405,7958.239,20.572
716,Zimbabwe,2,Medium,1983,1983.5,4106.01,4148.736,8254.746,21.338
716,Zimbabwe,2,Medium,1984,1984.5,4260.76,4301.499,8562.259,22.133
716,Zimbabwe,2,Medium,1985,1985.5,4419.103,4458.386,8877.489,22.948
716,Zimbabwe,2,Medium,1986,1986.5,4580.838,4619.312,9200.15,23.782
716,Zimbabwe,2,Medium,1987,1987.5,4744.373,4782.829,9527.202,24.628
716,Zimbabwe,2,Medium,1988,1988.5,4904.609,4944.52,9849.129,25.46
716,Zimbabwe,2,Medium,1989,1989.5,5055.062,5098.79,10153.852,26.248
716,Zimbabwe,2,Medium,1990,1990.5,5190.943,5241.466,10432.409,26.968
716,Zimbabwe,2,Medium,1991,1991.5,5310.057,5370.951,10681.008,27.61
716,Zimbabwe,2,Medium,1992,1992.5,5412.866,5487.645,10900.511,28.178
716,Zimbabwe,2,Medium,1993,1993.5,5500.685,5592.09,11092.775,28.675
716,Zimbabwe,2,Medium,1994,1994.5,5576.105,5685.647,11261.752,29.111
716,Zimbabwe,2,Medium,1995,1995.5,5641.141,5769.58,11410.721,29.496
716,Zimbabwe,2,Medium,1996,1996.5,5697.076,5844.139,11541.215,29.834
